sailnumber	name	type
GRE/GRE800X	ALBIREO	X-35 OD
ITA/ITA15711	ALBORAN 2	FIRST 34,7
ITA/ITA16696	ALCAM	FIRST 36.7
FRA/FRA9695	ALCHEMIST	X-362 SPORT DK
ITA/ITA7313	ALCOR IV	FIBAGO CX
ITA/ITA13834	ALCOR V	FIRST 47.7 SD
ARG/ARG4888	ALCORNOQUE	FAYD 33
GRE/GRE1044	ALCYON	CARTER 33
NED/NED3797	ALDEBARAN V	J-35
ESP/ESP9522_C	ALENAR	BAVARIA 33 CRUISER
ESP/ESP6967	ALEPH III	FIRST 36.7
ESP/ESP8694	ALEPH IV	GRAND SOLEIL 40 DK
GRE/GRE1655	ALEXANDROS	SUN ODYSSEY 42.2
GRE/GRE1338	ALEXANDROS	OCEANIS 473
ITA/ITA18657	ALEXIA II	GRAND SOLEIL 45
GER/GER7278	ALEXIS	X-35 OD
POR/POR1318	ALF	PROTOTYPE
ESP/ESP9545_C	ALHENA GG	CENTURION 37 S DK
GRE/GRE1645	ALHIMISTIS ONEIROU	JEANNEAU MELODY
GRE/GRE1485	ALISACHNI	OCEANIS 411
ITA/ITA12003	ALISEA	SHOW 32
ITA/ITA14124	ALISEA	GRAND SOLEIL 463
ITA/ITA363J24	ALISEO	J-24
GRE/GRE136	ALKYON	GIN FIZZ
USA/USA93556	ALLEGIANT	J-42
GRE/GRE517	ALLEGORIA	BAVARIA 35 MATCH
ESP/GBR3116	ALLEGRA	FIRST 40.7
GER/GER7502	ALLEGRO	COMFORTINA 38
PER/PER2008	ALLEGRO	SOTO ACEBAL 42
ITA/ITA15371	ALLEGRO APPASSIONATO	FIRST 41S5
ESP/ESP5308	ALLEGRO VIVACE	BH 36
ESP/ESP10300	ALMA DO MAR	FIRST 34.7 
POR/POR8557	ALMA DO MAR	FIRST 34.7 
POR/POR8358	ALMA GEMEA	Dufour 405 GL
GER/E8582	ALMA ROBERTA	ESSE 850
ITA/ITA16947	ALMALIBRE	BAVARIA 35 CRUISER
ITA/ITA3190SB	ALMALOCA	SB20 ONE DESIGN
FRA/FRA37269	ALMOGAVER	X-34 Sdt
GRE/GRE741	ALMYRA	SUN ODYSSEY 36.2
GRE/GRE1505	ALMYRA	EVASION 28
GRE/GRE49402	ALMYRA	JEANNEAU MELODY
GRE/GRE909	ALMYRA	WARRIOR 35
ESP/ESP4640_C	ALOPEX III	ALTAMAR 41
GRE/GRE49413	ALOUSTINA	FIRST 32
ITA/ITA17173	ALPHA UMI	ELAN  E 4
ESP/ESP2797	ALPISPA 2	DEHLER 34
GRE/GRE27	ALS	DUFOUR 425 GL
GER/BOD2013	ALSA	LAKE 35
ESP/ESP10273_C	ALTAIR SEXTO	BAVARIA 42 DS
ESP/ESP5881_C	ALTAMAR I	SUNSHINE 38
GRE/GRE280	ALTER EGO	ATLANTIC 49
ITA/ITA14734	ALTER EGO	GRAND SOLEIL 40
GER/GER7153	ALTER SCHWEDE	MAXI 999
FRA/FRA43673	ALTIKHAN	A-35 R
POR/POR888	ALTITUDES II	DUFOUR 40e
ARG/ARG4545	ALTO RIESGO	FAYD 30
NED/NED7052	ALTOPANA	First 31.7
NED/NED8139	ALU4STARS	Ragger 130
ESP/ESP10511_C	ALVA	ELAN IMPRESS 374
ESP/ESP7626_C	ALVEDRO II	BAVARIA 46 CR 
ESP/ESP8856	ALWAYS	SUN ODYSSEY 37.1
ESP/ESP9495	ALZIRA MORAIRA	SWAN 75
ESP/ESP10028_C	AMADIS	RO 300
ESP/ESP6903_C	AMADORIN I	DEHLER 34
JPN/JPN5305	AMALFI	YAMAHA 31S
GRE/GRE1428	AMALIA	BAVARIA 41
ESP/ESP10257_C	AMAMA	OCEANIS 393
ITA/ITAAMAMS	AMAMS	CYCLADES 39
GER/GER7162	AMANRICA	DUETTA 94
AUS/6609	AMANTE	SYDNEY 36 CR
ESP/ESP5462	AMARENA II	FIRST 31.7
NED/NED6670	AMAZONE	Dehler 37 Cws
GRE/GRE1279	AMEDE	BRIN DE FOLIE
GER/GER7065	AMELI	COMFORTINA 42
ITA/ITA414	AMELIE	DUFOUR 414 TROPHY
NLS/NED2973SH	AMERICA JANE II	one-off 1-ton
NED/NED2973	AMERICA JANE II	one-off 1-ton
ITA/ITA16492	AMETA	DUFOUR 405 GL
SUI/SUI8	AMETHYST	Saphire 27
GRE/GRE1798	AMFITRITI	ATLANTIC 31
GRE/GRE1671	AMFITRITI	SUN ODYSSEY 35
NOR/NOR10157	AMIGO VII	Bavaria 40 AC 98-0
ESP/ESP4122	AMOR FATI	COMFORTINA 32
EST/EST379	AMSERV TOYOTA ST	First 36.7 mod
GER/GER3105	AMUSE-BOUCHE	TRIPP 40
ESP/ESP8177_C	ANA HELENA	NADIR 33.5
ESP/ESP313_C	ANA-EMA	PUMA 27
FRA/FRA38521	ANAMAX	SHAMROCK MK2 mod
GRE/GRE1969	ANASA	COMFORTINA 36
GRE/GRE1391	ANASTASIA	FIRST 38
GRE/GRE875	ANASTASSIA	MOODY 34
GRE/GRE1550	ANAX	First 34.7
GER/GER6774	ANDAR	FINNGULF 33
GRE/ESP9297	ANDARIN	J-105
GER/C4016	ANDASTA	CLASS 40
SUI/SUI637	ANDIAMO	Surprise
SUI/SUI100	ANDIAMO	M 2
NED/NED7080	ANDIAMO	Elan 31
ESP/ESP7174	ANDREA	FIRST 235
ITA/ITA16303	ANDREBORA	GRAND SOLEIL 37 BC
GRE/GRE49063	ANDROMEDA	MOODY 39
GRE/GRE1827	ANDROMEDA	OCEANIS 350
GRE/GRE5001	ANDROMEDA	OYSTER 37
NED/NED4262	ANDROMEDA	Dynamic 37
ITA/ITA16328	ANDROMEDA	SUN KISS 47
ITA/ITA16893	ANDROMEDA	ELAN-400
ESP/ESP9911_C	ANDROMEDA JMM	BAVARIA 40
GRE/GRE3000	ANEMOESSA	BAVARIA 36 CRUISER
ITA/ITA16781	ANEMONE	SUN FAST 36
GRE/GRE1301	ANEMOS	DUFOUR 36 Classic
GRE/GRE1067	ANEMOS	DUFOUR 32 CLASSIC
GRE/GRE1674	ANEMOS	DISCOVERY 3000 XT
ITA/ITA14340	ANEMOS	FIRST 40.7 MOD
ITA/ITA15000	ANGE TRASPARENT II	SWAN 45 OD
ITA/ITA446	ANGELA	METEOR
BRA/BRA2430	ANGELA VI	GRAND SOLEIL 46
ITA/ITA17387	ANGELICA	OCEANIS 323
AUS/11011	ANGER MANAGEMENT	CORBY 43
ITA/ITA17432	ANGI	G 34 ONE DESIGN
ESP/ESP6476	ANGIE CMA 	BAVARIA 36 SK
ITA/ITA16712	ANGRY RED	T-34
ESP/CHI122	ANITA	J-122
ITA/ITA16494	ANLU'	DUFOUR 45 E PERFOR
GRE/GRE49542	ANNA	GIBSEA 402
