sailnumber	name	type
GER/GER6336	BAJAZZO	X-50
GER/GER7711	BALANCE	DEHLER 34 SV
AUS/7771	BALANCE	TP 52
ESP/ESP9653_C	BALANGUERA	DUFOUR 31
ITA/ITA13007	BALBEC	FIRST 300 SPIRIT
ESP/ESP3176	BALDUFA TRES	FORTUNA 9
ESP/ESP7120	BALEA DOUS	SUN FAST 32 I
ITA/ITA16887	BALEK	FIRST 31.7
ITA/ITABALCO	BALLA COI LUPI	BRIGAND 27
NED/NED5899	BALLADE	Melody
SUI/SUI74111	BALLYHOO	FARR 36 OD
FRA/ITA15200	BALOO	X-40 Sport Carbon
ITA/ITA17164	BALTHAZAR	SHOW 34
ESP/FRA21716	BAMAK	FIRST 35 QB
ESP/ESP4116	BAMBAN	FIRST 35S5 (BK)
GRE/GRE48	BANA BIOLETTA 4	ILC 40
GRE/GRE1919	BANA BIOLETTA 5	SUN ODYSSEY 469
ESP/ESP7253_C	BANATICA	FURIA 332-J
ESP/ESP8477	BANDIDO	DEHLER 44
GER/GER5555	BANK VON BREMEN	J/V 53
ARG/ARG4056	BANZAI	PANDORA 31
NED/NED1426	BANZARE	Banner 41
ITA/ITA14448	BAOBAB	HURRICANE 315
ESP/ESP4571_C	BARAKA MAR	FIRST 53 F5
ESP/ESP086	BARAKAH	FIGARO 2
ITA/ITA10831	BARALLA	COMET 1000
ESP/ESP9861	BARBA FEITA	FIRST 40.7 
ESP/ESP4386_C	BARBABLU	PHOENIX
ESP/ESP6773	BARCAROLE TRES	FIRST 36.7
GER/GER7072	BARCENTRAL	HANSE 370
ITA/ITA16885	BARONESA	FIRST 30
FRA/ITA13882	BARONESSA	Grand Soleil 40 SK
ITA/ITA4286	BARRAMUNDI	FIRST 36.7
JPN/JPN3387	BASIC	SEAM 31
NED/NED7608	BASTA !	Dehler 34
ITA/ITABASTA	BASTASTRESS	SUN ODYSSEY 409
NED/NED3112	BATAAF	Baltic 39 SD
NED/DEN205	BATANGA VII	X-412
ESP/ESP10478_C	BATSCO	FIRST 235
ITA/ITA58_6M	BAU BAU	6 METRI S.I.
SUI/SUI160	BAUREAL	ESSE 850
GRE/GRE74	BAXIMUS	X-35 OD
ITA/ITA13958	BE FIRST	FIRST 36.7
ITA/ITA17328	BE FREE	FIRST 35
ITA/ITA17244	BE HAPPY	SUN ODYSSEY 36i
ITA/ITA218J24	BE QUIET	J-24
ESP/ESP8811	BEAGLE	DEHLER 36 JV
AUS/MH115	BEAR NECESSITY	C&C 115
GRE/GRE2706	BEATRICE	FOLKBOAT
ITA/ITA24055	BEAU GESTE	ESTE 24
GRE/GRE1839	BEETHOVEN	SUN ODYSSEY 44i
ITA/ITA14093	BEL REBELOT	GRAND SOLEIL 40 C
ESP/ESP10453_C	BELESALA	OCEANIS 393
ITA/ITA15148	BELFAX	FAX
ESP/ESP8727_C	BELICH	BAVARIA 42 CR
GRE/GRE6142	BELL' ANGIOLINA	BRIGAND 9.5
GER/GER5295	BELLA	BAVARIA 36/2
ESP/ESP7225_C	BELLA CREOLA	COMFORTINA 42 SK
ITA/ITA14621	BELLA' M BRIANA	FIRST 31.7
ITA/ITA14702	BELLABLU	FIRST 32
ITA/ITA1387	BELLADENTRO	SURPRISE
ITA/ITA14318	BELLAMIA	SUN FAST 43
ITA/ITA17149	BELLATRIX II	GRAND SOLEIL 47 N.
GER/ORC101	BELUGA	REINKE S10
SUI/SUI228	BELUGA	First 28
ESP/ESP8711_C	BELUGA UNO	FURIA 302
ESP/ESP8304	BELUSO	YATLANT 26
ESP/ESP6661_C	BELYMAR II 	OCEANIS 393
NED/NED2298	BEREND BOTJE III	High Tension 36
ITA/ITA13816	BERENICE	SUN FAST 40
ESP/ESP10278_C	BERINGUINYS	FURIA 44 SK A
ITA/ITABERNI	BERNIE	SUN DREAM 28
ITA/ITA25427	BERTI' N	PLATU 25 OD
ITA/ITA14970	BERTILLLA	DUFOUR 44 P
GER/GER4908	BEST BUDDIES	SWAN 441R MOD.
ITA/ITA14412	BETTA SPLENDENS	FIRST 36.7
JPN/JPN6813	BETTER THAN MOST	SWING 34
ESP/ESP10424_C	BEVELLE	DUFOUR 375 GL
ITA/ITA3064	BIANCA	MUMM 30
FRA/FRA9481	BICHE	A-40 mod
BRA/BRA2389	BICHO GRILO	ONE OFF
GRE/FRA25528	BIDOURIK	JPK 9.60
KOR/KOR2299	BIG APPLE	FARR 45
ARG/ARG3410	BIG BANG	F&C 40
GER/GER4858	BIG EASY III	SWAN 48 S
ITA/ITA10859	BIG LILLIPUT	COMET 1050
ARG/ARG4185	BIG MATCH	MATCH 42
GER/GER5339	BIG MOJO	X-332 SPORT
ESP/ESP8632_C	BIG SUR PRIMERO	Dehler 35 CWS
NED/NED6816	BIG TIME	First 31.7
FRA/FRA8694	BIGOUDEN ON ROAD	ELLIOTT 8.7
BRA/BRA2306	BIJUPIRA	FIRST 40.7
FRA/FRA39367	BILOUT	BAVARIA 32 DK CR
SUI/SUI47	BINAUDA	h 26
FRA/FRA15037	BINGO	JOD  35
NED/NED4884	BINTANG	J.O.D. 35
ESP/FRA53019_C	BIRALAU	FIRST 27.7 SD
ITA/ITA14914	BIRIKO'	DUFOUR 34 MOD.
ITA/ITA1999	BITIPI	J 120
JPN/JPN1403	BITTER END	SWAN 40
ARG/ARG4600	BIZARRO	PETERSON 42
NED/NED103	BIZZY BEE	Huisman 37
ITA/ITA10125	BIZZZOSA	IOR 3/4 TON
ITA/ITA13701	BLACK ANGEL	IMX 38
ITA/ITA16106	BLACK COCONUT	M37
AUS/525100	BLACK JACK 100	Super maxi 100'
ESP/GER7007	BLACK PEARL	CARKEEK 47
ITA/BP72	BLACK PEARL	SOLARIS 72 JSA
NED/NED5287	BLACK RABBIT	Koopmans 34
GRE/GRE991	BLACK SHADOW SEMI	CONTESSA 35
AUS/33345	BLACK SHEEP	FIRST 45
ITA/ITA001	BLACK X 3	UFO ONE DESIGN
ESP/GBR3027	BLADE	SUN ODYSSEY 36.i
ESP/ESP7309_C	BLANC	OCEANIS 331
GER/GER5374	BLANC BLEU	FIRST 36.7
GER/GER3406	BLAUBÄR	SPRINTA-SPORT OD
ESP/ESP5285	BLAUMARINA I	FIRST 31.7
GER/GER5217	BLAUPAUSE	X-362 SPORT
GER/GER7209	BLINDE KUH	Bull 7000
ITA/ITABLISS	BLISS	FIRST 33.7 (DK)
ITA/ITA13910	BLITZ	FIRST 36.7
ESP/esp10392_C	BLIZZARD	GIB SEA 33
GER/M24326	BLOODHOUND	MELGES 24 OD
ITA/ITA476MET	BLOODY MARY	METEOR
ITA/ITABLOWUP	BLOW UP	SLOOP BERMUDIANO
NOR/NOR10270	BLU	GRAND SOLEIL 40 C
ITA/ITA12833	BLU DI MORO	STARKEL 55'
ITA/ITA13945	BLU FANTA' SIA	FIRST 40.7
ITA/ITA13520	BLU TANGO BLU	FIRST 40.7
USA/USA1717	BLUE	RIPTIDE 41
GRE/GRE284	BLUE	CARTER 33
ESP/ITA42028	BLUE	SWAN 42 CS
ITA/ITA2405	BLUE	XP55 SD
ITA/ITA17139	BLUE ADVENTURE	OCEANIS 393 C
ITA/ITABLUEA	BLUE ANGEL	J 80
GER/GER7380	BLUE BAT	X-412
SUI/SUI2602	BLUE BAYOU	Accent 26
GER/GER00561	BLUE BIRD	HIDDENSEE MODIF.
SUI/SUI127	BLUE BIRD	Dynamic 35
ESP/ESP10265_C	BLUE CHARLY	OCEANIS 393
NOR/NOR10854	BLUE DAWN	FIRST 47.7 CRUISIN
GRE/GRE203	BLUE DOG III	FIRST 35
ITA/ITA9930	BLUE DOLPHIN	DULLIA 36
ESP/ESP8910	BLUE FLAG	J-35
ESP/ESP7813_C	BLUE JACQ	WPS 40
NED/NED13	BLUE JANE	AC Frers
NED/NED5651	BLUE JAY	F & F 110
EST/EST708	BLUE LARK	First 36.7
GRE/GRE49606	BLUE LINE	SUNSHINE 36 ST.EXT
ESP/ESP8179_C	BLUE LIZARD	FIRST 34.7
GER/J801499	BLUE MOON	J-80 OD
ESP/NED122	BLUE OYSTER	LIGHTWAVE 395
SUI/SUI75	BLUE PEARL	Class 2 M
KOR/KOR2013	BLUE QUEEN	Yamaha 31 Festa
ESP/GRE4411	BLUE ROCKET	BASHFORD 41
GRE/GRE1961	BLUE SHARK	GRAND SURPRISE
ITA/ITA13180	BLUE SHARK	DEHLER 33 CRUISING
ITA/ITA16606	BLUE SKY	GRAND SOLEIL 43 BC
ITA/ITA14796	BLUE SPIRIT	FIRST 31.7
ESP/ESP10142	BLUE STAR	FIRST 27.7
ITA/ITA16215	BLUETTE	COMET 41S BT
AUS/H4000	BLUNDERBUSS	FIRST 40
ESP/ESP8785	BM CONCISA	FIRST 45 
GER/GER5795	BOATOX	X-35 OD
ESP/ESP10080_C	BOCU	FIRST 38S5 (BK)
NED/NED5814	BOEBES	Swan 39
SUI/SUI30	BOHOMO	Sunbeam 30.1
ESP/ESP6489	BOIRA I	FIRST 40.7
ESP/ESP10136_C	BOLERO III	HALLBERG RASSY 34
ESP/ESP6780_C	BOLERO UNO	DUFOUR 34
POR/POR1986	BOMBAY	ELAN 333
SUI/Z1	BONA FIDE	Lacustre spez.
ESP/ESP2762	BONA VENTURA	SIROCCO MK 2
ESP/GBR4485L	BOND	SUN FAST 3200 Sdt
ESP/GBR1660R_C	BONGANI	Pronavia 38
GER/GER7539	BONITO	DUFOUR 36 P
GER/J70767	BOOSTER	J-70 ONE DESIGN
SUI/SUI091	BOOTSLIFT	ESSE 850
ITA/GBR8250R	BORA FAST	SUN FAST 3600
AUS/RUS768	BORDERLINE	Farr400
NED/NED3024	BORDINE	Onbekend
ESP/ESP10146	BOSS	ELAN 333
BRA/BRA2620	BOTO V	SOLARIS 50
ITA/MON333	BOTTA DRITTA	ADVANCED 66
GER/GER6153	BRADA	ATLANTIC 40
ITA/ITA15366	BRAINSTORM	FIRST 31.7
NED/NED6109	BRANTA	Endurance 38
ESP/ESP2663_C	BRAV PIRAT	FLASH 700
SUI/SUI7880	BRAVA	ONE TON
ITA/ITA1000	BRAVA	FARR 49'
ITA/ITA12965	BRAVEDUCK	DIVA 40
ITA/ITA064	BRAVEHEART	SEASCAPE 24
ITA/ITABRAVFY	BRAVISSIMA VIBATEX	ONE OFF
BRA/BRA2394	BRAVISSIMO 4	SKIPPER 30
AUS/B40	BRAVO	FIRST 40
NED/NED2695	BREEZAND	Standfast 40
ITA/ITA15560	BREEZY	FIRST 34.7
ITA/ITA14450	BREZZA DI MARE	GRAND SOLEIL 40 C
ARG/ARG5664	BRIBON	MALBEC 410
ESP/ESP3000	BRIBON VII	PROTOTIPO 3/4 TON
ITA/ITA13043	BRICIOLA	FIRST 305
NED/NED4855	BRIGHT-SIDE	F & F 110
EST/EST606	BRIGITTA-X	X-34
GER/GER6103	BRIMIKE	FAURBY 360
ESP/ESP10069_C	BRIO PRIMERO	BAVARIA 38 DK
NOR/NOR14056	BRIS	Swedestar 370
ESP/ESP9326_C	BRISA	TORO 25
ESP/ESP10195_C	BRISOTE DOS	OCEANIS 343 CLIPP
ESP/ESP7190	BRITO	FIRST 27.7
AUS/Q40	BROADSWORD	A40
ESP/ESP5099	BRUIX	X-362 S
ESP/ESP9689	BRUJO	FIRST 40 DK
ITA/ITA469	BRUSCHETTA GUASTAFESTE	J-24
ITA/ITA15041	BRUSCOLO	VISMARA 38
ESP/ESP7977	BUCHACA	DUFOUR 34
ITA/ITA16426	BUENA VISTA	FY61
ESP/ESP1086_C	BUENAVENTURA RACING	FARR PLATU 25
ESP/ESP9043	BULLA	RO 330 SD
GER/GER2803	BUMBLEBEE	SPRINTA-SPORT OD
AUS/7007	BUMBLEBEE IV	Maxi
GRE/GRE1364	BURGUNDY	SIGMA 33S
ESP/ESP10369_C	BURLESQUE	BAVARIA 50
ESP/ESP9201_C	BUSCARI	SUN ODYSSEY 35
ESP/FRA29864_C	BUZZ LIGHT YEAR 	STARLIGHT 29
ARG/ARG3407	BWANA	HOLLAND 44
ITA/ITA17435	BYEBYE	FOCUS 750
CRO/CRO3732	Ba Re V	Murtic 52
NOR/NOR4693	Baaten	MARSVIN
NOR/NOR12030	Baba Yaga	Elan 37 dyp kjøl
NOR/NOR20	Babar	X-35 OD
NOR/NOR108	Bacchus	H-boot
NOR/NOR5280	Back in black	Miniton ONE OFF
NOR/NOR11219	Bada Bing	Bavaria 35 Match
NOR/NOR13892	Bagheera	Dehler 39 SQ
NED/NED8643	Bakvis	Dehler 35 CWS
NOR/NOR14853	Balder	Hanse 430e
RSA/SA3600	Ballyhoo Too	Mumm 36 mod.
AUS/AUS66	Balmain Tiger 	Flying Tiger 10 
NOR/NOR8311	Baloo	X-412
CRO/CRO2417	Baluga	Bavaria 46 Cruiser
NED/NED7774	Bankroet	First 42 S 7
NOR/NOR6478	Banzai	Gambler 37
NOR/NOR15055	Barbarella	Hanse 320
NED/NED8254	Barcarolle 2	Salona 42
NED/NED8830	Bardolino	Dehler DB1
NOR/NOR10423	Barolo II	Hanse 371
NED/SWE33	Barracuda	DEHLER 41 DB
AUT/AUT7	Barracuda Due	GRAND-SURPRISE
NED/NED8135	Bateleur	Bashford 41
NED/GBR1293R	Batfish	J-133
NED/NED6852	Bay Max	Simones 45
NOR/NOR13931	Bazinga	Dufour 34 Evolutio
ISR/ISR402	BeYOLO	OCEANIS 400
AUS/RQ4077	Beachball	FIRST 40.7
NED/NED8393	Beaufort 8.3	Beaufort 8.3
CRO/CRO2589	Becky Blu	Bavaria 50
NOR/NOR14909	Beeonsea	Elan 350 grunn kjø
NOR/NOR14643	Begge Dehler	Dehler 41 SV DK
RSA/RSA40001	Bellatrix	First 40
NED/NED7724	Belle Mare	Dufour 40 x 2.10
ISR/ISR150	Bellendaine	Moody 33
NED/NED8544	Bellini	Saffier 26
RSA/ISR511	Bellisima	Hanse 401
RSA/SA4200	Benguela	Fast 42
NOR/NOR15678	Berenike	Elan 410
NED/NED406	Bestevaer	Dehler 37 DB
NED/NED8573	Betty Boop	Elan 33 mod keel
NOR/NOR10901	Betty Boop 	Bavaria 35 Match
AUS/BSC945	Between Partners	Swarbrick 945
NED/NED8536	Big Biche	Dehler 41
NOR/NOR164	Big Brother	J-80 OD
NOR/NOR13536	Big Butt	Sun Fast 3200
NOR/NOR307	Big Time	MELGES 24 OD
NLS/NED7473SH	Big Time	J-109
NED/NED7473	Big Time	J-109
NOR/NOR9775	Bilbo	FIRST 31.7 LR
NED/NED7655	Biscaya	Sun Fast 36x1.95
NOR/NOR182	Bissie Lissie	X-35 OD
NED/NED7361	Bixmile	X-43
NOR/NOR12042	Bjørnstjerne	X-43
NOR/NOR9702	Blaast	X-332
NOR/NOR14064	Black Magic	First 35
NED/NED3537	Black Magic Woman	Waarschip 1010x1.9
CRO/CRO1924	Black Pearl	Bavaria CR 45
NOR/NOR13040	Black Pearl	Pogo Classe 40
NED/NED7978	Black Pearl	Dufour 34
NED/NED5328	Black Pearl	Extra Paulette
NED/NED758	Black and Brain	Mini 650 D2
NED/NED7503	Blacq Magic	Maxfun 35
ISR/ISR40	Blanc Bleu	Bavaria 40
NOR/NOR15410	Blanke Arc ^2	Arcona 410
NED/NED7001	Blauwe Knoop	First 31.7
USA/60062	Blended	JEANNUEAU SO 409 W
NOR/NOR11075	Blia	DUFOUR 40 HR
NED/NED8218	Bliss	Winner 950
CRO/CRO2224	Blitvica	Bavaria CR 45
NED/IRL3208	Blizzard of UZ	Sun Fast 3200
NED/NED7932	Blub	Dehler DB2
NED/NED7138	Blue	Dehler 39
CRO/CRO2013	Blue Chip	Dehler 38
NOR/NOR14597	Blue Cirrus	Delphia 47
NOR/NOR14031	Blue Fox	First 36.7
NED/NED8924	Blue Jack	Sprinta Sport
NED/NED7975	Blue June	Standfast 43x 2.05
NOR/NOR13547	Blue Note	Sun Od 42i Perform
ISR/TUR441	Blue Point	A 40 RC 2.48
KOR/KOR5500	Blue Queen II	SOTO 36
NOR/NOR4737	Blue Spirit	OCEANIS 473
RSA/SA7168	Blue Tango 2	L 26
ISR/ISR1312	Blue Wave	IMX 38
NED/NED7173	Blue Whale	DEHLER 36 JV
NED/NED7145	Bluemotion	Elan 40x2.05
NED/NED1427	Blues	Salona 37 RK
NOR/NOR519	Bluesette	NORDISK FOLKBÅT
NED/NED8391	Bluesmile	Smile
NOR/SWE69	Blur	J/111
NED/NED7726	Boatox	Salona 37x1.98
RSA/RSA702	Bodytec Flyer	Charger 33
NED/NED7238	Boei 22	Sun Fast 32
NED/NED7038	Boekanier	Comfortina 32
NED/NED8526	Boekanier	DEHLER 39 SQ
NED/NED8531	Bojangles	Dehler 31
NLS/NED7636SH	Bolocan	Dehler 36 db
NED/NED7636	Bolocan	Dehler 36 db
NED/NED8892	Bon Bini	Winner 1010x1.40
NED/NED8623	Bon Vivant	Scanner 391
NED/NED9000	Bongo	BONGO 9.60
NED/NED8084	Bongo Fury	J-35
NOR/NOR7327	Bonnie XI	CUMULUS
CAN/CAN10	Boondoggle	J/160 DK
AUT/AUT122	Boreas	DEHLER 33 COMP
NOR/NOR15144	Born to Run	XP-44
NED/NED4590	Boruna	XC-45
NED/NED8311	Bounty Hunter	Prima 38
NED/NED7652	Bowmore	First 31.7
NED/NED8718	Box jellyfish	Sun Fast 32
NED/NED8491	Boxer	X-40
NOR/NOR12502	Braveheart	IMX 38
NOR/NOR12510	Breezin	X-40
NOR/NOR13508	Bretanus III	HR 342
NOR/NOR7031	Brigten	CONTRAST 33
NOR/NOR12784	Bris	Arcona 370
NOR/NOR10515	Bris	HR 34
NOR/NOR11289	Brisen III	Sun Fast 37
NED/NED5457	Brizo	Waarschip1/2Tx1.65
NED/NED8495	Brothership	Dufour 334
NOR/NOR5975	Brunhildur 	X-79
NED/NED7488	Bruorskip	First 31.7
NED/NED7802	Bubbels	Dehler 36 SQ
NED/NED8615	Bulletproof	Dehler 31
AUS/12450	Bushranger	MAT 1245
NOR/NOR4253	BØR	MAXI 95
NOR/NOR13488	Båten	Arcona 400
NOR/NOR11651	Båtenvår	First 31.7 LR
NOR/NOR12845	Bølgen & Meg	Bavaria 40 Cruiser
NOR/NOR15415	C'est nous!	First 40
ESP/ESP8100	C.A.F.	VROLIJK 37
ESP/ESP7658	CABO NEGRO UNO	FIRST 36.7
GER/GER6706	CACHAVACHA	PRIMA 38
ESP/ESP10396_C	CACHIVACHE	SUN ODYSSEY 32 DK
FRA/FRA43880	CACHOU	DUF 405 GL DK
GER/GER5368	CAELESTIA	SUN FAST 32 I
ESP/ESP10322_C	CALA BLANCA U	OCEANIS 405
GER/GER4741	CALA VENTINOVE	DEHLER 29 SPIQUEST
ESP/ESP2025	CALABRUIX II	SOMO 23
ESP/ESP4849	CALAMA	FIRST 33.7
AUS/6755	CALIBAN II	BENETEAU 47.7 WING
AUS/7777	CALIBRE	SYDNEY 38 OD
ARG/ARG3773	CALIFA 3	FARR 44
ITA/ITA25289	CALIGULA MINUS	PLATU 25 OD
GER/GER7313	CALINA	X-342
ITA/ITA17225	CALIPSO	FIRST 40 CR
GER/GER7131	CALLE STRÖMER	OHLSON 8:8
ESP/ESP760_C	CALLEJON DE LAA PARRA	FIRST CLASS 8
ESP/ESP631_C	CALM DAYS	FIRST 235 (LK)
GRE/GRE007	CALYPSO	FIRST 32
GRE/GRE1226	CALYPSO	BAVARIA 44
GRE/GRE1758	CALYPSO	SUN ODYSSEY 409
ITA/ITA17424	CALYPSO	SERENITY
ESP/ESP7054	CAMARON VEINTE	YATLANT 24
ESP/ESP2855	CAMBRIA	FIRST 32S5 (DK)
ITA/ITA056UFO22	CAMILLA	UFO 22
AUS/MH111	CAMILLE	 Ron Swanson
BRA/BRA2484	CAMIRANGA	Soto Acebal 65
ESP/ESP4607	CANALLA	BRENTA 24
ITA/ITA14593	CANAPIGLIA	X-46
ESP/ESP8852_C	CANDELA C	SUN ODYSSEY 40 DS
ITA/ITA77772	CANDELLUVA ii	VISMARA 47'
GRE/GRE1679	CANENAS	BAVARIA 40 CRUISER
ITA/ITA39144	CANOPO	GRAND SOLEIL 39 2M
ITA/ITA14575	CANOPUS	FIRST 36.7
ESP/ESP9871_C	CANTAMAÑANA	SUN ODYSSEY 37
NOR/NOR11361	CAOS	Sun Od 35
ESP/ESP9845_C	CAPH	SUN ODYSSEY 409 DK
ESP/ESP9641_C	CAPITAN HADDOCK	PUMA 27
ITA/ITA4123	CAPITANI CORAGGIOSI	X-41
NED/NED6890	CAPOLAVORO	Spirit 36
ITA/ITA11579	CAPRICCIO	EUREKA 31
FRA/FRA37101	CAPRICCIO II	FIRST 36.7 Le
GER/GER3722	CAPRICE	COMFORTINA 32
ITA/ITA17436	CAPRICE	ESTE 31
GER/GER1275	CAPRICORNO	ILC 40
GRE/GRE1126	CAPT. YIOTIS	OCEANIS 440 WK
NED/NED7275	CAPTAIN JACK	J-109
GER/GER7100	CARA	XC-45
SUI/SUI760	CARA SARA	Surprise
GER/X99589	CARABELLA	X-99
ITA/ITACARCA	CARBONERA	ELAN 31 SD
ITA/ITA25306	CARIBE	PLATU 25 OD
ESP/ESP4341_C	CARICIAS 	MISTRAL 40
USA/USA42937	CARINA	J-37
FRA/FRA28128	CARINO	FIRST 33.7 DK Ir 
POR/POR1427	CARIOCA	DEHLER 36 CWS
ISR/ISR491	CARMEN III	SUN ODYSSEY 49i
ESP/ESP7324_C	CARONT	BAVARIA 35 MATCH
ESP/ESP5906	CARONTE	FARR 395
GER/GER6736	CARPE DIEM	DRABANT 27
GRE/GRE1656	CARPE DIEM	BAVARIA 44
ESP/GBR296L	CARRION OF WIGHT	S&S 45
AUS/B10	CARTOUCHE	BENETEAU FIRST 50
ESP/ESP9829_C	CARTUJANO	FIRST 285
GER/GER7467	CASITA	DEHLER 31
JPN/JPN5030	CASSANDRE	IMX 38
FRA/FRA41212	CASTAGNOLE	IMX 38 DK
ITA/ITA16629	CASTALIA	GRAND SOLEIL 37 BC
ESP/ESP7843	CASTILLO TRES	OCEANIS 343 CLIPP
ESP/ESP7227	CASTROSUA	IMS 42
GER/HB1711	CATCH UP	H-BOAT ONE DESIGN
ITA/ITA17414	CATINA4	HANSE 311
ITA/ITA17	CATMAZ	D 772
NED/NED5853	CATOOTJE	Winner 950x1.30
ITA/ITA028UFO	CATTIVIK	UFO ONE DESIGN
ITA/ITA16540	CATTY SARK	AZUREE 40
BRA/BRA2303	CATUANA KIM	TOR 41
ITA/ITA69650	CAVALLO PAZZO 2	X-35
FRA/FRA24444	CAVEJE 3	AQUILA (DK)
FRA/FRA29340	CAVOK 4	JPK 960 Ca Sym
RSA/RSA714	CAZ	Dehler DB1
GER/GER6932	CAZADOR	HANSE 385
ESP/ESP8637	CAÑAS II	DUFOUR 40
NOR/NOR9629	CB`N	CB 365
GER/GER7212	CEDO NULLI	PRIMA 38
FRA/FRA39318	CELESTE	FIRST 36.7 Le
ITA/ITA270MET	CELESTE AIDA	METEOR
AUS/AUS6952	CELESTIAL	TP 52 J/V
FRA/FRA25617	CELTICS	JPK 960 Asym
FRA/FRA37288	CEPHEI II	ELAN 410 DK
RSA/TUR1180	CFM 2	Mat 11.80
GER/GER6779	CHACOSITO	DEHLER 41
ESP/ESP5029	CHAITAN II	FIRST 40.7
PER/PER066	CHALLWA	J111
FRA/SUI9111	CHAMAN J	J-111 OD
GRE/GRE49704	CHAMOGELO TOU PAIDIOU	GRAND SOLEIL 34
ESP/ESP4733	CHANCE V	X 332 
AUS/8824	CHANCELLOR	FIRST 47.7
NOR/NOR10936	CHANRU	FIRST 44.7
ARG/ARG1406	CHANTA	CP 30
GER/GER7612	CHAPU CHAPU	BULL 7000
ESP/ESP10412_C	CHAPUNGU	NICHOLSON 32 MKV
ITA/ITA15357	CHARAS 2	HANSE 370E
FRA/FRA17363	CHARLES III	SUN FAST 32 DK
ITA/ITA12245	CHARLIE VICTOR	J 39
GER/GER7167	CHARLOTTE	HANSE 291 WINGKEEL
FRA/FRA21637	CHARRETTE III	SUN ODYSSEY 40 DK
ESP/ESP6785_C	CHAWA	CENTURION 40 S
ESP/ESP6785_R	CHAWA	CENTURION 40 S
ITA/ITA15AS99	CHE SPASSO	ASSO 99
ITA/GBR45026	CHECKMATE	SWAN 45 OD
AUS/USA90210	CHECKMATE of HOLLYWOOD	Peterson 50 IOR
GER/GER7177	CHENAPAN	ARCHAMBAULT A35
GRE/GRE1159	CHER	GIBSEA 105 (scoop)
ITA/ITA16971	CHEREN	COMET 31 S
ESP/ESP7017_C	CHESS	DEHLER 34
ITA/ITA24008	CHEST' E'	ESTE 24
ITA/ITA14339	CHESTRESS	J-109
ITA/ITA16221	CHESTRESS 3	J 122
ITA/ESP6610	CHEYENNE	RODMAN 42
ITA/ITACHEZB	CHEZ BLACK	OCEANIS 35.1
ITA/ITA14786	CHIARA	SUN FAST 32i
ITA/ITA2233	CHIARA	MONO 22
GRE/GRE1168	CHIARA IASON	GRAND SOLEIL 40
ITA/ITA102AS99	CHIARA TRE	ASSO 99
GER/GER4813	CHILLY BANANA	JANTAR 26RACE
GRE/GRE49651	CHIMERA	X-362
GRE/GRE877	CHIMOULIS	DUFOUR 31
USA/USA46453	CHIP'S ALL IN	B-32
GER/GER7549	CHIPIRON	FIRST CLASS 8
ESP/ESP10458_C	CHIPIRON	OCEANIS 40 (1.90)
ESP/ESP7354	CHISPA NEJRA	RO 300
ESP/ESP8869	CHISPETREN	DUFOUR 34
ESP/ESP18869_C	CHISPETREN	DUFOUR 40
GER/GER4187	CHOSI VI	J-35
GER/GER5115	CHRILA	SWAN 56
GRE/GRE1604	CHRISTINA	OYSTER 37
GRE/GRE1774	CHRISTINA	FIRST 42 S7
GRE/GRE655	CHRISTINA II	DEHLER 38 (SD)
BRA/BRA2283	CHROMA	B&C46
ESP/ESP8129	CHRONO	FIRST 34.7
GRE/GRE973	CHRYSSAOR	RIMAR 36 Modified
ESP/ESP10255_C	CHUBASCO IV	MANZANITA
AUS/7155	CHUTNEY MARY	ELAN S4
AUS/R33	CHUTZPAH	CAPRICE 40
ITA/ITA16904	CIABATTA	MULTI 78
FRA/FRA53012	CIAO CIAO	SUN FAST 3600 CaR2
ITA/ITA109UFO22	CIAPARAT	UFO 22
ITA/ITA228M24	CICLONE	MELGES 24 OD
FRA/FRA8033	CIPANGO III	AQUILA (DK)
ITA/ITA15056	CIRCE	FIRST 36.7
GER/GER7595	CIRCUS	SEAQUEST 36
GER/X79365	CIRCUS MAXIMUS	X-79 OD
GER/7KR223	CIRRUS	8KR
GRE/GRE565	CISSI	Maxi 84
ESP/ESP9793_C	CLAJASAN	BALTIC 61
GER/GER5761	CLAXPAX	X-412 MK3 NORMKEEL
GRE/GRE700	CLEOPATRA	FIRST 40.7
FRA/FRA27754	CLEZIO	Gd SOLEIL 39 STD
AUS/N11	CLIMATE ACTION NOW	HICK 50
SUI/SUI61	CLIN D'OEIL	Dynamic 35
ITA/ITA254J24	CLIO	J-24
ITA/ITA17379	CLIO	OCEANIS 35.1
ESP/ESP11111_C	CLOUDTOWAY	J80
GRE/RSA123	CLYMENE	ONE OFF
ESP/ESP7676	CMR	COMET 45 QB
ITA/ITA16240	COCHINA	FIRST 40'
ITA/ITA1440SU	COCO'	SURPRISE
ARG/ARG4082	COCODRILO DADDY	PANDORA 31
ESP/ESP5156_C	COCOLISO	BRENTA 24
GRE/GRE9442	CODE ZERO	GRAND SOLEIL 42 R
ESP/ESP5323_C	COKETO	FIRST CLASS 8
ESP/ESP5516	COKETO 2	FIRST 31.7
ESP/ESP25509_C	COLEGIO LOPE DE VEGA	FARR PLATU 25
ITA/ITA9661	COLETTE	MOUSSE 99
ESP/ESP9654_C	COLIBRI I	ALBATRO 
ESP/ESP8097	COMBARRO	YATLANT 26
ESP/ESP8338	COMET@	X-35
